Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,Date_of_Data,Date_Report_Created,Value_inches,Percent_NRCS_1981_2010_Average,Percent_NRCS_1981_2010_Median,Percent_of_POR_Average,Percent_of_POR_Median,Percent_of_Water_Year_Peak,Percent_of_Average_Water_Year_Peak_POR,Percent_of_Median_Water_Year_Peak_POR,POR_Median_Departure_inches,Percentile_POR,Maximum_Rank_POR,Minimum_Rank_POR,Records_POR,NRCS_1981_2010_Average_inches,NRCS_1981_2010_Median_inches,POR_Average_inches,POR_Median_inches,Minimum_POR_inches,Maximum_POR_inches,Year_of_Minimum_POR,Year_of_Maximum_POR,Number_of_Observations_POR
Mt. Tebo,"1126	",Washington,SNOTEL,Mason,3384,47.46061,-123.41219,"171100170101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,0,,,0,,1,1,,,,0,0,0,0,2020,2020,1
Muckamuck,"1259	",Washington,SNOTEL,Okanogan,4470,48.58526,-119.86624,"170200062001	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",6
Mud Flat,"654	",Idaho,SNOTEL,Owyhee,5730,42.6004,-116.55925,"170501041401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.28,0,0,2,"2017, 2018, 2019, more","2003, 2004",18
Mud Ridge,"655	",Oregon,SNOTEL,Clackamas,4070,45.25362,-121.73673,"170800010302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,84,4,1,Lowest,,,0.6,0,0,8,"2018, 2019, 2020, more",2013,20
Mule Creek,"656	",Montana,SNOTEL,Beaverhead,8300,45.40957,-112.95927,"100200041303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,88,100,78,12,12,0,58,9,9,,,,7.95,7,0,30,"2011, 2016",2017,20
Munson Ridge,"950	",Alaska,SNOTEL,Fairbanks North Star,3100,64.85033,-146.20945,"190803060602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,51,52,86,12,13,-5.5,33,7,3,,,,11.8,11.5,5,25,"2011, 2016",2017,10
Myrtle Creek,"1053	",Idaho,SNOTEL,Boundary,3520,48.72263,-116.46312,"170101040701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,76,5,1,Lowest,,,0.44,0,0,5,"2016, 2018, 2020, more",2017,18
N Fk Elk Creek,"657	",Montana,SNOTEL,Powell,6250,46.8716,-113.27725,"170102031204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,140,200,33,6,7,1.5,67,8,13,,,,2.14,1.5,0,7,"2014, 2016, 2018, more",2017,22
Nast Lake,"658	",Colorado,SNOTEL,Pitkin,8700,39.29722,-106.60694,"140100040504	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.75,1,0,8,"2014, 2016, 2017, more",2019,16
Navajo Whiskey Ck,"1138	",New Mexico,SNOTEL,San Juan,9050,36.17728,-108.94691,"140802040206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,600,,50,3,4,1,100,1,11,Highest,,,0.17,0,0,1,"2017, 2018, 2019, more","2013, 2020",12
Nenana,"2081	",Alaska,SCAN,Yukon-Koyukuk,415,64.68582,-148.9113,"190803090803	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",28,,,504,933,100,75,100,25,100,1,9,Highest,,,5.56,3,0,28,2005,2020,9
Nevada Ridge,"903	",Montana,SNOTEL,Lewis And Clark,7020,46.84234,-112.50787,"170102030302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,220,300,50,16,17,6,95,2,20,2nd Highest,,,4.09,3,0,15,"2011, 2012, 2016, more",2017,22
Never Summer,"1031	",Colorado,SNOTEL,Jackson,10280,40.40405,-105.95583,"101800010401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",8,,,68,62,53,9,11,-5,33,13,5,,,,11.74,13,1,22,2016,2010,19
New Crescent Lake,"660	",Oregon,SNOTEL,Klamath,4910,43.51185,-121.97982,"170703020205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,64,6,1,Lowest,,,0.47,0,0,2,"2018, 2019, 2020, more","2008, 2013",15
New Fork Lake,"661	",Wyoming,SNOTEL,Sublette,8340,43.11265,-109.94947,"140401020201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,36,10,1,Lowest,,,1.33,1,0,5,"2015, 2016, 2020, more",2017,15
Nez Perce Camp,"662	",Montana,SNOTEL,Ravalli,5650,45.73107,-114.48075,"170102050204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,146,200,60,6,6,1.5,76,5,12,,,,2.06,1.5,0,9,"2012, 2015, 2018, more",2017,18
Nicks Valley,"1279	",Alaska,SNOLITE,Valdez-Cordova,4280,61.16371,-145.64092,"190201040202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",19,,,64,66,83,13,12,-10,33,3,2,2nd Lowest,,,29.75,29,18,43,2016,2018,4
Niwot,"663	",Colorado,SNOTEL,Boulder,9910,40.03523,-105.54426,"101900050401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,17,29,17,2,2,-2.5,33,11,2,2nd Lowest,,,5.81,3.5,0,16,2016,2006,16
Noisy Basin,"664	",Montana,SNOTEL,Flathead,6040,48.15678,-113.94637,"170102080208	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",13,,,121,144,87,10,11,4,70,8,17,,,,10.71,9,0,30,2008,2009,24
Nome WSO Airport,"6496	",Alaska,ACIS,Nome,10,64.5,-165.43333,"190501042007	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.82,1,0,11,"2015, 2016, 2018, more",1948,90
North Costilla,"665	",New Mexico,SNOTEL,Taos,10600,36.99378,-105.25963,"130201010101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,119,100,7,2,3,0,78,5,10,,,,0.84,1,0,3,"2016, 2017, 2019, more","2009, 2018",19
North Fork,"666	",Oregon,SNOTEL,Multnomah,3060,45.5505,-122.00283,"170800010503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,78,6,1,Lowest,,,0.25,0,0,2,"2016, 2018, 2020, more",2017,24
North Fork Jocko,"667	",Montana,SNOTEL,Missoula,6330,47.2726,-113.75617,"170102120702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",18,,,174,200,72,15,15,9,84,4,17,,,,10.35,9,0,24,"2008, 2015",2013,20
North French Creek,"668	",Wyoming,SNOTEL,Carbon,10130,41.3308,-106.37555,"101800020502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,32,29,67,3,4,-10,18,15,3,,,,12.5,14,2,27,2005,2013,18
North Lost Trail,"669	",Colorado,SNOTEL,Gunnison,9200,39.07813,-107.14389,"140100040703	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-4,19,14,1,Lowest,,,4.35,4,0,10,"2016, 2017, 2020, more","2006, 2008",17
North Rapid Creek,"920	",South Dakota,SNOTEL,Lawrence,6130,44.20617,-103.78758,"101201100101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.29,0,0,11,"2015, 2016, 2018, more",2019,17
Northeast Entrance,"670	",Montana,SNOTEL,Yellowstone National Park,7350,45.00565,-110.01406,"100700010602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,109,,29,5,5,2,65,7,11,,,,1.83,0,0,7,"2012, 2014, 2016, more",2017,18
Nostetuko River,"3A22P	",British Columbia,Cooperator Snow Sensors,"	",4780,51.23333,-124.45,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,55,6,1,Lowest,,,0.83,0,0,4,"2016, 2018, 2020, more",2011,12
Nuka Glacier,"1037	",Alaska,SNOTEL,Kenai Peninsula,1250,59.69867,-150.70967,"190203011101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1.5,20,13,1,Lowest,,,3.19,1.5,0,15,"2013, 2018, 2020, more",2010,16
Nutrioso,"1127	",Arizona,SNOTEL,Apache,8500,33.89747,-109.15517,"150400040301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,"1,300",,14,4,14,1,100,1,13,Highest,,,0.08,0,0,1,"2017, 2018, 2019, more",2020,13
ONeil Creek,"1272	",Nevada,SNOTEL,Elko,6520,41.8642,-115.08316,"170402130106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020","2018, 2019, 2020",3
Oak Creek,"1146	",Utah,SNOTEL,Millard,7850,39.3485,-112.32639,"160300051505	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.2,0,0,6,"2017, 2018, 2019, more",2014,10
Ochoco Meadows,"671	",Oregon,SNOTEL,Crook,5430,44.42917,-120.3311,"170703050201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",14
Olallie Meadows,"672	",Washington,SNOTEL,King,4030,47.37406,-121.44213,"171100100301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.53,1,0,12,"2016, 2018, 2019, more",2005,17
Old Battle,"673	",Wyoming,SNOTEL,Carbon,10000,41.15397,-106.96937,"101800020901	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,42,35,67,5,5,-11,11,17,2,2nd Lowest,,,14.26,17,2,26,2016,2009,19
Onion Park,"1008	",Montana,SNOTEL,Meagher,7410,46.91348,-110.8536,"100301030801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,93,109,43,10,10,0.5,53,10,11,,,,6.45,5.5,0,23,"2011, 2012, 2016, more",2009,20
Overland Res.,"675	",Colorado,SNOTEL,Delta,9840,39.09056,-107.63472,"140200040101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,35,40,33,1,2,-1.5,40,10,6,,,,2.88,2.5,0,7,"2015, 2016, 2017, more","2003, 2004",16
Owl Creek,"676	",Wyoming,SNOTEL,Hot Springs,8975,43.65868,-109.00988,"100800070103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,113,114,44,15,15,0.5,71,6,10,,,,3.56,3.5,0,9,"2014, 2015, 2016, more","2006, 2009",18
Oxford Spring,"677	",Idaho,SNOTEL,Oneida,6740,42.26015,-112.12515,"160102040206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020, more","2018, 2019, 2020, more",10
Palo,"1170	",New Mexico,SNOTEL,Taos,9350,36.40848,-105.33063,"130201010601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.9,0,0,5,"2014, 2016, 2017, more",2018,10
Panguitch Lake RS,"1148	",Utah,SNOTEL,Garfield,8350,37.70463,-112.65037,"160300010402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",6
Paradise,"679	",Washington,SNOTEL,Pierce,5130,46.78265,-121.74765,"171100150104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.23,1,0,14,"2014, 2016, 2019, more",2010,13
Pargon Creek,"986	",Alaska,SNOTEL,Nome,100,64.9935,-163.10317,"190501040905	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,268,500,100,24,31,4,100,1,15,Highest,,,1.87,1,0,5,"2014, 2018",2020,15
Park Cone,"680	",Colorado,SNOTEL,Gunnison,9600,38.81996,-106.58974,"140200010107	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,98,120,60,4,6,0.5,65,7,10,,,,3.06,2.5,0,10,"2005, 2012, 2016",2011,18
Park Creek Ridge,"681	",Washington,SNOTEL,Chelan,4600,48.44488,-120.91551,"170200090106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.95,0,0,20,"2016, 2018, 2019, more",2005,20
Park Mountain,"1F03P	",British Columbia,Cooperator Snow Sensors,"	",6093,50.43333,-118.61667,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",15,,,109,100,71,15,15,0,55,6,6,,,,13.75,15,2,23,"2003, 2014","2004, 2013",12
Park Reservoir,"682	",Colorado,SNOTEL,Delta,9960,39.04644,-107.87414,"140200050111	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,13,17,20,1,1,-5,24,17,6,,,,7.95,6,0,27,"2012, 2016, 2017, more",2004,22
Parkdale 3.5 NE,"ORHR0002	",Oregon,ACIS,Hood River,1570,45.5583,-121.5528,"170701050506	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,2012,2012,1
Parker Peak,"683	",Wyoming,SNOTEL,Park,9400,44.73396,-109.91484,"100700010502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",14,,,108,112,64,17,18,1.5,67,8,15,,,,12.91,12.5,1,28,1999,2017,22
Parleys Summit,"684	",Utah,SNOTEL,Summit,7585,40.76184,-111.62917,"160201020103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-0.5,47,10,1,Lowest,,,1.89,0.5,0,12,"2016, 2017, 2020, more",2003,18
Parleys Upper,"856	",Utah,SNOTEL,Salt Lake,8353,40.70194,-111.60619,"160202040302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-5,0,2,1,Lowest,,,5,5,0,10,2020,2019,2
Parrish Creek,"971	",Utah,SNOTEL,Davis,7740,40.93417,-111.81372,"160201020501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.76,3,0,25,"2015, 2016, 2017, more",2004,21
Patton Meadows AM,"1241	",Oregon,SNOLITE,Lake,6780,42.24522,-120.60527,"180200010208	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,800,,100,2,3,1,100,1,8,Highest,,,0.13,0,0,1,"2017, 2018, 2019, more",2020,8
Payson R.S.,"686	",Utah,SNOTEL,Utah,8044,39.92976,-111.63109,"160202020601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.5,0,0,10,"2016, 2017, 2018, more",2004,22
Peavine Ridge,"687	",Oregon,SNOTEL,Clackamas,3420,45.04148,-121.93252,"170900110306	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.29,0,0,2,"2016, 2018, 2019, more","2013, 2017",17
Pepper Creek,"1104	",Washington,SNOTEL,Skamania,2140,46.10242,-121.95555,"170800020111	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",13
Peterson Meadows,"930	",Montana,SNOTEL,Granite,7200,46.12588,-113.30792,"170102020101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,66,75,43,6,7,-1,41,11,8,,,,4.56,4,0,15,"2012, 2014, 2016, more",2015,18
Phantom Valley,"688	",Colorado,SNOTEL,Grand,9030,40.39937,-105.84757,"140100010302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,102,100,27,5,7,0,60,7,8,,,,2.94,3,0,9,"2015, 2016, 2017, more",2019,16
Phillips Bench,"689	",Wyoming,SNOTEL,Teton,8200,43.51687,-110.91258,"170401030504	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,71,100,56,6,6,0,50,10,9,,,,7.05,5,0,18,"2011, 2014, 2016",2017,19
Pickfoot Creek,"690	",Montana,SNOTEL,Meagher,6650,46.57978,-111.26832,"100301030501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,110,200,36,9,9,2,63,7,11,,,,3.65,2,0,17,"2011, 2012, 2016, more",2017,17
Pickle Keg,"691	",Utah,SNOTEL,Sevier,9020,39.01219,-111.58259,"160300030402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.65,0,0,7,"2016, 2017, 2018, more",2004,17
Pierce R.S.,"1142	",Idaho,SNOTEL,Clearwater,3080,46.49597,-115.7957,"170603060401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,600,,50,6,5,2,100,1,12,Highest,,,0.33,0,0,2,"2016, 2017, 2018, more",2020,12
Pigtail Peak,"692	",Washington,SNOTEL,Yakima,5800,46.62153,-121.38643,"170300020301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,6,4,0,23,"2006, 2012, 2014, more",2005,23
Pike Creek,"693	",Montana,SNOTEL,Pondera,5930,48.30305,-113.32868,"100302010103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1.5,37,13,1,Lowest,,,3.45,1.5,0,12,"2014, 2018, 2020, more",2013,20
Pine Creek,"694	",Utah,SNOTEL,Millard,8734,38.88185,-112.24915,"160300051307	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.87,0,0,9,"2016, 2017, 2018, more",2009,15
Pine Creek Pass,"695	",Idaho,SNOTEL,Teton,6720,43.56998,-111.21157,"170402040101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,160,,29,4,4,2,67,6,11,,,,1.25,0,0,4,"2015, 2016, 2018, more","2013, 2017",16
Pine Nut,"2144	",Nevada,SCAN,Clark,6780,36.57285,-115.20422,"150100150202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2015, 2016, 2018, more","2015, 2016, 2018, more",6
Pine Pass,"4A02P	",British Columbia,Cooperator Snow Sensors,"	",4547,55.35,-122.63333,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,18.8,19,9,27,2015,2018,5
Pinedale,"7260	",Wyoming,ACIS,Sublette,7180,42.86666,-109.86666,"140401020103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.47,0,0,7,"2016, 2017, 2019, more",2003,60
Pinto Rock,"1263	",Washington,SNOTEL,Skamania,4440,46.32318,-121.94219,"170800040405	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,83,2,1,Lowest,,,0.57,0,0,4,"2018, 2019, 2020, more",2017,7
Placer Basin,"696	",Montana,SNOTEL,Sweet Grass,8830,45.41905,-110.08844,"100700020701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",16,,,124,114,57,21,22,2,68,7,13,,,,12.9,14,0,25,2016,2017,20
Pocket Creek,"1133	",Wyoming,SNOTEL,Sublette,9360,42.7121,-109.4112,"140401020505	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,8.2,7.5,2,16,2014,2009,10
Poison Flat,"697	",California,SNOTEL,Alpine,7736,38.50576,-119.62624,"160502010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,70,7,1,Lowest,,,2.62,0,0,21,"2018, 2019, 2020, more",2004,21
Pole Canyon,"1244	",Nevada,SNOTEL,Elko,7760,40.86293,-115.12067,"160600071101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.86,2,0,13,"2016, 2018, 2019",2015,7
Pole Creek R.S.,"698	",Nevada,SNOTEL,Elko,8360,41.87255,-115.24713,"170501021002	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,5.65,4,0,29,"2011, 2016",2015,17
Poorman Creek,"932	",Montana,SNOTEL,Lincoln,5100,48.12672,-115.62333,"170101011301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,20,33,11,1,1,-2,36,15,8,,,,5,3,0,20,"2014, 2016, 2018, more",2017,23
Pope Ridge,"699	",Washington,SNOTEL,Chelan,3590,47.9909,-120.56622,"170200100204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.48,0,0,14,"2017, 2018, 2019, more",2005,23
Porcupine,"700	",Montana,SNOTEL,Park,6500,46.11192,-110.4696,"100700030303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,102,150,23,10,11,1,72,6,11,,,,2.95,2,0,22,"2012, 2014, 2016, more",2017,19
Porphyry Creek,"701	",Colorado,SNOTEL,Gunnison,10760,38.48884,-106.33965,"140200030105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,22,20,25,1,2,-4,36,10,4,,,,4.47,5,0,13,"2008, 2012, 2016",2009,15
Port Graham,"987	",Alaska,SNOTEL,Kenai Peninsula,300,59.35065,-151.84768,"190203011208	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,75,,100,3,3,1,76,5,13,,,,1.33,0,0,10,"2016, 2017, 2018, more",2012,18
Porter Canyon,"2170	",Nevada,SNOTEL,Lander,7187,39.46544,-117.62069,"160600020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,82,3,1,Lowest,,,0.5,0,0,5,"2018, 2019, 2020, more",2015,12
Portland Intl AP,"356751	",Oregon,ACIS,Multnomah,19,45.5958,-122.6092,"170900120201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",74
Portland Troutdale AP,"358634	",Oregon,ACIS,Multnomah,52,45.5511,-122.4089,"170900120201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",52
Potato Hill,"702	",Washington,SNOTEL,Yakima,4510,46.34963,-121.51435,"170800040303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.71,0,0,7,"2015, 2016, 2018, more",2017,14
Powder River Pass,"703	",Wyoming,SNOTEL,Johnson,9480,44.16188,-107.12622,"100800080304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",11,,,131,138,73,23,24,3,76,5,14,,,,8.39,8,0,20,"2014, 2016",2019,18
Prairie,"704	",Idaho,SNOTEL,Elmore,4800,43.50513,-115.573,"170501131103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.33,0,0,1,"2018, 2019",2017,3
Princeton A,"6510	",British Columbia,ACIS,"	",2834,49.5,-120.58333,"170200070605	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.3,0,0,9,"2016, 2018, 2019, more",1978,63
Promontory,"705	",Arizona,SNOTEL,Coconino,7930,34.36824,-111.01084,"150200080306	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.2,0,0,1,"2017, 2018, 2019, more","2003, 2004, 2015",15
Prudhoe Bay,"1177	",Alaska,SNOTEL,North Slope,30,70.26666,-148.56666,"190604010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,64,100,100,10,10,0,50,5,3,,,,3.11,2,0,7,2016,2017,9
Pulpit Lake,"4A09P	",British Columbia,Cooperator Snow Sensors,"	",4367,57.53333,-126.73333,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,11.4,7,6,19,"2015, 2017","2018, 2019",5
Quartz Mountain,"706	",Oregon,SNOTEL,Lake,5720,42.31923,-120.82533,"180102020404	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.17,0,0,2,"2016, 2018, 2019, more",2017,18
Quartz Peak,"707	",Washington,SNOTEL,Spokane,4700,47.87927,-117.08938,"170103080302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,41,11,1,Lowest,,,1.22,1,0,5,"2016, 2018, 2020, more",2013,18
Quemazon,"708	",New Mexico,SNOTEL,Los Alamos,9500,35.92244,-106.39203,"130201011303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.22,0,0,13,"2017, 2018, 2019, more",2008,18
Quinn Ridge,"1297	",Nevada,SNOLITE,Elko,6266,41.96219,-117.33968,"16040201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,,,0,,1,1,,,,0,0,0,0,2020,2020,1
Rabbit Ears,"709	",Colorado,SNOTEL,Routt,9400,40.36783,-106.74038,"140500010402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,5.83,4,0,19,2016,2013,12
Ragged Mountain,"1081	",Idaho,SNOTEL,Kootenai,4210,47.85583,-117.03667,"170103050302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,281,,33,4,4,3,86,3,12,,,,1.07,0,0,5,"2015, 2016, 2018, more","2013, 2017",15
Railroad Overpass,"710	",Oregon,SNOTEL,Lane,2680,43.65887,-122.21272,"170900010302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,"1,500",,50,10,12,1,100,1,15,Highest,,,0.07,0,0,1,"2017, 2018, 2019, more",2020,15
Rainbow Canyon,"1110	",Nevada,SNOTEL,Clark,7860,36.2493,-115.62972,"150100150301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,83,3,1,Lowest,,,0.15,0,0,1,"2018, 2019, 2020, more","2013, 2015",13
Rainy Pass,"711	",Washington,SNOTEL,Chelan,4890,48.51865,-120.7358,"171100050503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,76,100,38,3,3,0,61,8,10,,,,3.95,3,0,20,"2014, 2018, 2019, more",2005,19
Rawah,"1032	",Colorado,SNOTEL,Jackson,9020,40.7075,-106.0076,"101800010603	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,85,100,44,9,9,0,59,8,9,,,,4.72,4,0,11,"2003, 2007",2013,18
Red Canyon AM,"1290	",Idaho,SNOLITE,Owyhee,6600,42.42817,-116.84653,"170501041704	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020","2018, 2019, 2020",3
Red Hill,"712	",Oregon,SNOTEL,Hood River,4410,45.4643,-121.70428,"170701050505	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,57,7,1,Lowest,,,1.67,0,0,8,"2018, 2019, 2020, more","2013, 2017",15
Red Mountain Pass,"713	",Colorado,SNOTEL,San Juan,11200,37.8918,-107.71342,"140801040103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-5,13,21,1,Lowest,,,8.04,5,0,23,"2001, 2012, 2020, more",2000,24
Red Pine Ridge,"714	",Utah,SNOTEL,Emery,8988,39.45197,-111.27221,"140600090202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.62,0,0,10,"2016, 2017, 2018, more",2004,21
